Date,XOM Adj Close,JEF Adj Close,TSLA Adj Close,JNJ Adj Close,MSFT Adj Close
7/1/21,58.187599,30.280468,225.973328,157.381927,266.821075
7/2/21,58.10482,30.155191,226.300003,160.24585,272.764557
7/6/21,56.44915,29.895699,219.860001,159.28804,272.774475
7/7/21,55.566128,29.224588,214.883331,160.653625,275.004486
7/8/21,55.317772,27.74815,217.603333,160.340668,272.538696
7/9/21,56.320377,28.571377,218.983337,160.976028,273.0495
7/12/21,56.265182,28.956144,228.566666,160.720001,272.44043
7/13/21,55.99844,28.562428,222.846664,160.520874,276.036041
7/14/21,54.756683,30.101505,217.793335,161.61142,277.539063
7/15/21,54.22319,30.39679,216.866669,159.667358,276.085114
7/16/21,52.723896,29.859907,214.740005,159.411331,275.810028
7/19/21,50.911854,28.777184,215.406662,158.254379,272.135834
7/20/21,51.472946,29.501982,220.166672,159.74324,274.405212
7/21/21,53.128609,30.003078,218.429993,160.729477,276.448608
7/22/21,52.530735,29.46619,216.419998,161.194122,281.105225
7/23/21,52.466351,29.099314,214.460007,162.910599,284.57312
7/26/21,53.790878,29.430395,219.206665,162.986435,283.963989
7/27/21,53.193001,29.385656,214.926666,163.735626,281.498199
7/28/21,53.551731,29.484085,215.660004,163.280457,281.183777
7/29/21,54.204796,29.958336,225.78334,163.280457,281.458862
7/30/21,52.953842,29.698839,229.066666,163.299408,279.896881
8/2/21,52.963051,30.083609,236.556671,163.365814,279.80838
8/3/21,53.533329,30.182041,236.580002,165.376221,282.067932
8/4/21,52.282383,29.859907,236.973328,164.399445,281.468719
8/5/21,52.613514,30.701033,238.210007,164.712402,284.42569
8/6/21,53.220592,31.246862,233.03334,164.162384,284.366791
8/9/21,52.613514,31.345295,237.919998,164.731354,283.256622
8/10/21,53.514931,31.560047,236.66333,164.788254,281.399933
8/11/21,53.671299,31.99851,235.940002,164.816711,281.90097
8/12/21,53.549915,31.917974,240.75,166.144348,284.710632
8/13/21,53.008347,31.620602,239.056671,167.140076,287.697174
8/16/21,52.233341,31.548512,228.723328,168.647888,289.416351
8/17/21,51.878529,31.251143,221.903336,170.193634,287.923065
8/18/21,50.786049,31.206089,229.66333,168.031464,286.161255
8/19/21,49.236046,30.620352,224.490005,169.340164,292.106323
8/20/21,49.24538,31.061901,226.753326,170.165192,299.577026
8/23/21,51.271595,32.116222,235.433334,169.430664,299.862488
8/24/21,51.691784,32.485683,236.16333,167.312897,297.86438
8/25/21,51.785152,33.134506,237.066666,166.206299,297.263977
8/26/21,51.084846,33.116478,233.720001,165.319122,294.389832
8/27/21,52.074608,33.91848,237.306671,164.966171,295.009949
8/30/21,51.505028,33.323738,243.636673,165.662552,298.819122
8/31/21,50.907436,33.30571,245.240005,165.156952,297.136017
9/1/21,50.207138,32.990311,244.696671,165.738876,297.086792
9/2/21,51.430328,33.107464,244.130005,166.874069,296.41748
9/3/21,51.234241,32.927242,244.523331,166.978989,296.407623
9/7/21,50.935448,33.071415,250.973328,164.384247,295.462708
9/8/21,50.468578,33.080429,251.289993,163.983597,295.492218
9/9/21,50.505928,33.161537,251.619995,160.330002,292.578766
9/10/21,50.403221,32.999329,245.42334,159.28064,291.062958
9/13/21,51.701118,33.18856,247.666672,158.16452,292.322845
9/14/21,50.963467,33.026363,248.16333,157.210571,295.078857
9/15/21,52.681538,33.044388,251.943329,157.802032,300.029816
9/16/21,52.121288,32.846134,252.330002,157.611221,300.423523
9/17/21,51.505028,32.927242,253.16333,157.162888,295.157593
9/20/21,50.132431,32.350517,243.389999,156.266159,289.67511
9/21/21,50.085743,32.161278,246.460007,156.953018,290.167267
9/22/21,51.551716,32.710968,250.646667,156.380615,293.887848
9/23/21,53.29781,33.576054,251.213333,157.267822,294.852478
9/24/21,53.774017,33.603092,258.130005,156.790848,294.645782
9/27/21,55.370708,34.107716,263.786682,155.65564,289.54718
9/28/21,55.949627,33.801334,259.186676,155.312241,279.064514
9/29/21,55.912277,33.98156,260.436676,156.466507,279.536987
9/30/21,54.92252,33.4589,258.493347,154.062561,277.489716
10/1/21,56.892704,34.161785,258.406677,153.079987,284.556885
10/4/21,57.630356,34.197834,260.51001,151.887558,278.66095
10/5/21,57.53698,34.513229,260.196655,152.230972,284.222168
10/6/21,56.481857,35.00885,260.916656,152.545776,288.503815
10/7/21,56.640594,35.396332,264.536682,153.909927,290.216461
10/8/21,58.059875,35.946018,261.829987,153.518799,290.216461
10/11/21,57.480965,36.414608,263.980011,152.870117,289.606293
10/12/21,57.182163,36.441643,268.573334,150.428009,288.277435
10/13/21,57.023422,36.549774,270.359985,151.868454,291.653503
10/14/21,57.8918,37.261669,272.773346,152.736572,297.992371
10/15/21,58.442711,37.513988,281.01001,153.87175,299.429413
10/18/21,58.414696,37.829372,290.036682,152.746094,302.460999
10/19/21,59.292412,37.856415,288.089996,156.32341,303.386169
10/20/21,59.619213,37.892456,288.600006,156.237564,302.579102
10/21/21,58.536079,38.17181,298,155.875046,305.876434
10/22/21,58.937592,38.541271,303.226654,156.180344,304.301605
10/25/21,60.086086,39.036892,341.619995,156.523727,303.287781
10/26/21,61.477356,38.838642,339.476654,158.116837,305.236694
10/27/21,59.880665,38.018612,345.953339,156.199402,318.091461
10/28/21,60.048733,38.766544,359.013336,155.350388,319.252899
10/29/21,60.198143,38.748528,371.333344,155.378983,326.40863
