Date,Open,High,Low,Close,Adj Close,Volume
2016-12-30,20.749638,20.830200,20.695927,20.812298,17.523033,1556383
2017-01-03,20.910765,21.036085,20.704880,20.857056,17.560719,2363731
2017-01-04,20.982376,21.233019,20.973425,21.170359,17.824507,1701386
2017-01-05,21.125601,21.179310,20.794394,20.991327,17.673773,1388814
2017-01-06,21.062941,21.161407,20.866007,21.062941,17.734066,1360662
2017-01-09,20.973425,21.000278,20.749638,20.785442,17.500425,1178235
2017-01-10,20.812298,21.170359,20.794394,21.134552,17.794363,1438526
2017-01-11,21.036085,21.304630,20.955523,21.295679,17.930025,1533593
2017-01-12,21.161407,21.206163,20.713831,20.892860,17.590864,1255875
2017-01-13,21.027134,21.125601,20.857056,21.000278,17.681309,1195997
2017-01-17,20.866007,20.866007,20.364721,20.454235,17.221565,1294975
2017-01-18,20.507944,20.785442,20.311012,20.767540,17.485353,1473715
2017-01-19,20.812298,20.892860,20.472139,20.525848,17.281862,1584646
2017-01-20,20.633266,20.767540,20.570606,20.704880,17.432594,1071549
2017-01-23,20.570606,20.695927,20.346819,20.507944,17.266781,970114
2017-01-24,20.660122,21.053988,20.624315,20.928667,17.621014,1423780
2017-01-25,21.143503,21.519468,21.107698,21.492613,18.095831,2025465
2017-01-26,21.510515,21.743256,21.447857,21.707451,18.276720,1824940
2017-01-27,21.734304,21.734304,21.295679,21.412048,18.028004,969220
2017-01-30,21.358339,21.367292,20.964474,21.250921,17.892338,1112883
2017-01-31,21.143503,21.385195,21.018183,21.349388,17.975243,1421322
2017-02-01,21.510515,21.680595,21.295679,21.429953,18.043074,1353959
2017-02-02,21.241970,21.429953,21.116650,21.241970,17.884796,1726968
2017-02-03,21.662691,21.913336,21.501566,21.796965,18.352085,1555489
2017-02-06,21.635838,21.949141,21.591080,21.850674,18.397303,1278441
2017-02-07,21.984947,22.020754,20.955523,21.161407,17.816975,3514261
2017-02-08,21.036085,21.071892,20.758589,20.964474,17.651159,1596711
2017-02-09,21.071892,21.519468,21.027134,21.394146,18.012928,1762046
2017-02-10,21.564224,21.626886,21.376244,21.492613,18.095831,1020608
2017-02-13,21.653742,21.895432,21.653742,21.734304,18.299328,1168404
2017-02-14,21.644789,22.325106,21.644789,22.298250,18.774143,3755896
2017-02-15,22.378815,22.396717,22.146074,22.378815,18.841969,2484716
2017-02-16,22.378815,22.710020,22.334057,22.674215,19.090694,2731043
2017-02-17,22.602602,22.898003,22.271397,22.880100,19.264032,2790362
2017-02-21,22.889051,23.139694,22.781633,23.014374,19.377090,1695242
2017-02-22,22.898003,23.059130,22.781633,23.014374,19.377090,2633071
2017-02-23,23.059130,23.184452,22.799536,23.023323,19.384621,1869514
2017-02-24,22.745827,23.023323,22.638409,22.996469,19.362011,1838346
2017-02-27,23.112839,23.569366,23.050179,23.399288,19.701172,2756066
2017-02-28,23.399288,23.846865,23.300821,23.828960,20.062929,3481753
2017-03-01,24.204926,24.473471,24.169119,24.348150,20.500063,4026241
2017-03-02,24.348150,24.348150,23.748398,23.766300,20.010180,3777010
2017-03-03,23.712591,24.160168,23.632029,23.873718,20.100622,3330159
2017-03-06,23.685738,23.837914,23.506706,23.748398,19.995104,2579672
2017-03-07,23.811058,23.954283,23.703640,23.864767,20.093079,2545264
2017-03-08,24.061701,24.088556,23.864767,23.936380,20.153370,2237607
2017-03-09,24.034845,24.160168,23.846865,23.945332,20.160913,2134608
2017-03-10,24.079603,24.160168,23.694689,23.945332,20.160913,1692449
2017-03-13,23.963234,24.204926,23.873718,24.106459,20.296577,1984913
2017-03-14,24.106459,24.106459,23.596222,23.981136,20.191061,2115170
2017-03-15,24.052750,24.231779,23.945332,24.115410,20.304110,2123884
2017-03-16,24.169119,24.276539,23.739447,23.864767,20.140175,2109696
2017-03-17,23.873718,23.891623,23.515657,23.578320,19.898439,3177112
2017-03-20,23.533562,23.703640,23.399288,23.524611,19.853109,2198620
2017-03-21,23.614124,23.667833,23.050179,23.139694,19.528276,2557106
2017-03-22,23.032276,23.381386,22.880100,23.068083,19.467833,2168792
2017-03-23,23.068083,23.309772,22.987518,23.077032,19.475384,2331334
2017-03-24,23.202354,23.282919,22.880100,23.023323,19.430059,2004463
2017-03-27,22.647360,23.023323,22.486233,22.933809,19.354519,2657089
2017-03-28,22.915907,23.560415,22.844294,23.363482,19.717133,2299943
2017-03-29,23.300821,23.560415,23.265015,23.363482,19.717133,1644748
2017-03-30,23.381386,23.569366,23.345579,23.515657,19.845558,1929280
2017-03-31,23.390337,23.461948,23.273968,23.273968,19.641582,1571129
2017-04-03,23.345579,23.363482,23.059130,23.273968,19.641582,2286314
2017-04-04,23.175501,23.336626,23.166550,23.300821,19.664246,1382334
2017-04-05,23.524611,23.775251,23.309772,23.327677,19.686913,2223978
2017-04-06,23.300821,23.658882,23.166550,23.596222,19.913549,1754896
2017-04-07,23.444046,23.667833,23.363482,23.533562,19.860664,1028428
2017-04-10,23.533562,23.685738,23.300821,23.488804,19.822895,1124836
2017-04-11,23.327677,23.435095,23.175501,23.435095,19.777571,1597381
2017-04-12,23.408239,23.417191,23.103888,23.211306,19.588701,1347927
2017-04-13,23.112839,23.327677,22.835342,22.844294,19.278969,1270621
2017-04-17,22.871147,22.951712,22.754778,22.951712,19.369629,2160637
2017-04-18,22.808487,22.898003,22.477282,22.566795,19.044785,3454830
2017-04-19,22.763729,22.924856,22.656313,22.781633,19.226097,1757801
2017-04-20,22.915907,23.139694,22.817438,23.094936,19.490496,1182927
2017-04-21,23.077032,23.130741,22.763729,22.835342,19.271418,1197450
2017-04-24,23.282919,23.542513,23.148645,23.238161,19.611372,1529460
2017-04-25,23.390337,23.623075,23.309772,23.426144,19.770012,1473715
2017-04-26,23.390337,23.578320,23.291870,23.408239,19.754898,1454612
2017-04-27,23.470900,23.524611,23.157597,23.399288,19.747349,1416071
2017-04-28,23.336626,23.506706,22.710020,22.727924,19.180765,2117740
2017-05-01,22.799536,23.193403,22.781633,23.121792,19.513159,1595259
2017-05-02,23.148645,23.175501,22.871147,22.996469,19.407396,1453830
2017-05-03,22.880100,23.121792,22.826391,23.014374,19.422508,1806508
2017-05-04,23.166550,23.220259,22.584700,22.683167,19.142990,1958549
2017-05-05,22.808487,23.077032,22.727924,23.059130,19.460278,1372057
2017-05-08,23.085985,23.372435,22.960663,23.363482,19.717133,1732889
2017-05-09,23.327677,23.336626,22.629457,22.647360,19.112776,1983572
2017-05-10,22.584700,22.942760,22.513086,22.942760,19.362066,1880573
2017-05-11,22.826391,22.826391,22.441475,22.736876,19.188316,1671223
2017-05-12,22.656313,22.727924,22.432524,22.647360,19.112776,1888952
2017-05-15,22.620504,22.808487,22.611553,22.710020,19.165653,1513373
2017-05-16,22.710020,22.763729,22.557844,22.701069,19.158102,1384680
2017-05-17,22.701069,22.701069,21.788013,21.877529,18.463091,2387638
2017-05-18,21.850674,22.172930,21.788013,22.038656,18.599072,2046578
2017-05-19,22.083414,22.226639,21.993898,22.056559,18.614180,1621846
2017-05-22,22.181881,22.199783,21.895432,22.101316,18.651953,1340442
2017-05-23,22.137123,22.244541,21.922285,22.190832,18.727497,921631
2017-05-24,22.262444,22.298250,22.146074,22.190832,18.727497,1545100
2017-05-25,22.235590,22.351959,22.065512,22.110268,18.659508,1100818
2017-05-26,22.074463,22.155025,21.975996,22.038656,18.599072,753056
2017-05-30,21.922285,21.967045,21.689547,21.841722,18.432875,1570347
2017-05-31,21.850674,21.922285,21.313583,21.832771,18.425318,3282792
2017-06-01,21.931238,22.343008,21.698498,22.325106,18.840813,1678038
2017-06-02,22.155025,22.235590,21.895432,21.922285,18.500862,1851193
2017-06-05,21.886480,22.119221,21.850674,21.877529,18.463091,1053340
2017-06-06,21.734304,21.940189,21.653742,21.850674,18.440422,844102
2017-06-07,21.850674,22.047607,21.788013,21.958094,18.531080,1291512
2017-06-08,21.958094,22.611553,21.958094,22.513086,18.999454,1753556
2017-06-09,22.450426,22.665262,22.172930,22.629457,19.097666,2792485
2017-06-12,22.638409,22.906954,22.611553,22.745827,19.195871,2087689
2017-06-13,22.826391,23.229210,22.826391,23.166550,19.550938,1538732
2017-06-14,23.023323,23.157597,22.718971,23.085985,19.482944,2161754
2017-06-15,22.844294,23.238161,22.763729,23.077032,19.523075,1388367
2017-06-16,23.121792,23.318724,22.987518,23.318724,19.727554,2416460
2017-06-19,23.461948,23.542513,23.318724,23.479853,19.863863,1523204
2017-06-20,23.282919,23.309772,22.683167,22.692118,19.197445,2252130
2017-06-21,22.701069,22.701069,22.208735,22.369864,18.924820,1650221
2017-06-22,22.316154,22.530991,22.226639,22.405668,18.955105,1536051
2017-06-23,22.575748,22.602602,22.307201,22.369864,18.924820,3978763
2017-06-26,22.405668,22.701069,22.343008,22.656313,19.167150,1510916
2017-06-27,22.727924,23.103888,22.656313,23.068083,19.515507,2157174
2017-06-28,23.291870,23.658882,23.273968,23.515657,19.894156,2046467
2017-06-29,23.766300,23.972185,23.139694,23.381386,19.780556,2758859
2017-06-30,23.578320,23.596222,23.399288,23.417191,19.810854,1534040
2017-07-03,23.596222,24.034845,23.569366,23.999041,20.303097,1486115
2017-07-05,23.990089,24.079603,23.837914,23.936380,20.250082,2186555
2017-07-06,23.891623,24.034845,23.676785,23.828960,20.159210,2511415
2017-07-07,23.945332,24.079603,23.775251,23.954283,20.265228,1393617
2017-07-10,23.846865,23.972185,23.730495,23.820009,20.151634,1758248
2017-07-11,23.775251,23.846865,23.524611,23.766300,20.106199,1154887
2017-07-12,23.846865,23.909525,23.721542,23.802107,20.136486,1305029
2017-07-13,23.784204,23.918476,23.757349,23.909525,20.227364,1263137
2017-07-14,23.658882,23.954283,23.623075,23.900574,20.219793,1098360
2017-07-17,23.784204,23.927427,23.685738,23.811058,20.144058,959725
2017-07-18,23.658882,23.811058,23.640980,23.784204,20.121342,887000
2017-07-19,23.820009,23.900574,23.757349,23.784204,20.121342,2130587
2017-07-20,23.846865,23.918476,23.640980,23.649931,20.007751,1347145
2017-07-21,23.542513,23.766300,23.497755,23.676785,20.030470,1246715
2017-07-24,23.855816,24.169119,23.739447,23.990089,20.295525,2416795
2017-07-25,24.204926,24.357101,24.088556,24.249683,20.515137,1482876
2017-07-26,24.258635,24.267586,23.963234,24.007992,20.310669,851922
2017-07-27,24.034845,24.169119,23.730495,23.828960,20.159210,1846054
2017-07-28,23.793156,23.945332,23.282919,23.318724,19.727554,1787852
2017-07-31,23.372435,23.470900,23.229210,23.300821,19.712399,1443553
2017-08-01,23.381386,23.399288,23.175501,23.318724,19.727554,1192199
2017-08-02,23.238161,23.623075,23.202354,23.605173,19.969883,2263190
2017-08-03,23.578320,23.837914,23.470900,23.524611,19.901728,1261573
